mass_A
t	x	y
0.000000000E0	2.606001821E-2	6.024037637E-1
1.000000000E-2	3.114419679E-2	5.939231854E-1
2.000000000E-2	3.644102559E-2	5.848313438E-1
3.000000000E-2	4.171115589E-2	5.752913094E-1
4.000000000E-2	4.736530097E-2	5.651201133E-1
5.000000000E-2	5.335995441E-2	5.543552760E-1
6.000000000E-2	5.966445635E-2	5.434827412E-1
7.000000000E-2	6.619909501E-2	5.320141235E-1
8.000000000E-2	7.308886177E-2	5.200853024E-1
9.000000000E-2	8.031138251E-2	5.073616709E-1
1.000000000E-1	8.773407758E-2	4.941277342E-1
1.100000000E-1	9.573897913E-2	4.806333675E-1
1.200000000E-1	1.041344938E-1	4.670021728E-1
1.300000000E-1	1.130393276E-1	4.525493689E-1
1.400000000E-1	1.223549069E-1	4.375531216E-1
1.500000000E-1	1.320770320E-1	4.225855031E-1
1.600000000E-1	1.428103916E-1	4.067258978E-1
1.700000000E-1	1.539531753E-1	3.912640154E-1
1.800000000E-1	1.656225975E-1	3.756940884E-1
1.900000000E-1	1.777516495E-1	3.598036611E-1
2.000000000E-1	1.910998975E-1	3.430398038E-1
2.100000000E-1	2.054454938E-1	3.263365979E-1
2.200000000E-1	2.202888480E-1	3.100934443E-1
2.300000000E-1	2.363947868E-1	2.937216402E-1
2.400000000E-1	2.529366895E-1	2.775654142E-1
2.500000000E-1	2.694747667E-1	2.616635595E-1
2.600000000E-1	2.878330509E-1	2.452541278E-1
2.700000000E-1	3.069748261E-1	2.295121107E-1
2.800000000E-1	3.277891015E-1	2.143366393E-1
2.900000000E-1	3.487560210E-1	1.982477809E-1
3.000000000E-1	3.693771861E-1	1.841421286E-1
3.100000000E-1	3.917875829E-1	1.702298538E-1
3.200000000E-1	4.145447786E-1	1.572869997E-1
3.300000000E-1	4.386691058E-1	1.441010868E-1
3.400000000E-1	4.637630835E-1	1.319975799E-1
3.500000000E-1	4.892218862E-1	1.208181819E-1
3.600000000E-1	5.147619519E-1	1.109841836E-1
3.700000000E-1	5.406709783E-1	9.994101448E-2
3.800000000E-1	5.675327816E-1	9.013437197E-2
3.900000000E-1	5.943660015E-1	8.016025501E-2
4.000000000E-1	6.216797018E-1	7.066390619E-2
4.100000000E-1	6.494498456E-1	6.241285265E-2
4.200000000E-1	6.777226280E-1	5.410299469E-2
4.300000000E-1	7.056173303E-1	4.811830451E-2
4.400000000E-1	7.343254198E-1	3.898725978E-2
4.500000000E-1	7.633680229E-1	3.354545515E-2
4.600000000E-1	7.928683621E-1	2.900777058E-2
4.700000000E-1	8.222357342E-1	2.558762697E-2
4.800000000E-1	8.519584360E-1	2.230903869E-2
4.900000000E-1	8.794034604E-1	2.035699876E-2
5.000000000E-1	9.106579456E-1	1.928858549E-2
5.100000000E-1	9.407442278E-1	1.740004912E-2
5.200000000E-1	9.705869828E-1	1.601136389E-2
5.300000000E-1	1.000782521E0	1.416339053E-2
5.400000000E-1	1.031341542E0	1.328526978E-2
5.500000000E-1	1.059729650E0	1.274382464E-2
5.600000000E-1	1.091734962E0	1.278168836E-2
5.700000000E-1	1.121132440E0	1.104622825E-2
5.800000000E-1	1.151119157E0	9.420179093E-3
