mass_A
t	x	y
0.000000000E0	2.649781596E-2	6.028415614E-1
1.000000000E-2	3.073163082E-2	5.954391562E-1
2.000000000E-2	3.511114853E-2	5.875582766E-1
3.000000000E-2	4.006296697E-2	5.794813077E-1
4.000000000E-2	4.493364749E-2	5.704668778E-1
5.000000000E-2	5.030149443E-2	5.608998843E-1
6.000000000E-2	5.582953115E-2	5.510371266E-1
7.000000000E-2	6.157635635E-2	5.407064744E-1
8.000000000E-2	6.766290053E-2	5.299448280E-1
9.000000000E-2	7.385081309E-2	5.186655080E-1
1.000000000E-1	8.056801341E-2	5.066505204E-1
1.100000000E-1	8.740308898E-2	4.940177649E-1
1.200000000E-1	9.501665489E-2	4.811357123E-1
1.300000000E-1	1.030575263E-1	4.682355971E-1
1.400000000E-1	1.114994472E-1	4.546582611E-1
1.500000000E-1	1.203788762E-1	4.405115201E-1
1.600000000E-1	1.296168821E-1	4.263956248E-1
1.700000000E-1	1.399527234E-1	4.113558926E-1
1.800000000E-1	1.502959480E-1	3.958897178E-1
1.900000000E-1	1.618756216E-1	3.805393770E-1
2.000000000E-1	1.744119649E-1	3.644436447E-1
2.100000000E-1	1.872025812E-1	3.484755864E-1
2.200000000E-1	2.006560568E-1	3.324827814E-1
2.300000000E-1	2.152954018E-1	3.162429770E-1
2.400000000E-1	2.305150667E-1	3.001735058E-1
2.500000000E-1	2.465881451E-1	2.844605720E-1
2.600000000E-1	2.628856750E-1	2.700757150E-1
2.700000000E-1	2.805524434E-1	2.528740240E-1
2.800000000E-1	2.988071580E-1	2.373754973E-1
2.900000000E-1	3.185046389E-1	2.222188601E-1
3.000000000E-1	3.383829631E-1	2.073166946E-1
3.100000000E-1	3.586137611E-1	1.933613974E-1
3.200000000E-1	3.795084416E-1	1.795077498E-1
3.300000000E-1	4.009703638E-1	1.664038468E-1
3.400000000E-1	4.232657472E-1	1.534961753E-1
3.500000000E-1	4.467683598E-1	1.411822267E-1
3.600000000E-1	4.712746398E-1	1.292977321E-1
3.700000000E-1	4.961000237E-1	1.191539997E-1
3.800000000E-1	5.221220037E-1	1.118977779E-1
3.900000000E-1	5.472222502E-1	9.842217045E-2
4.000000000E-1	5.732337676E-1	8.878383241E-2
4.100000000E-1	6.000538741E-1	7.887599809E-2
4.200000000E-1	6.275637914E-1	6.929173240E-2
4.300000000E-1	6.542181950E-1	6.139300150E-2
4.400000000E-1	6.824680043E-1	5.244678328E-2
4.500000000E-1	6.880449505E-1	1.826951786E-2
4.600000000E-1	7.377812593E-1	3.850786670E-2
4.700000000E-1	6.883093983E-1	1.836219532E-2
4.800000000E-1	6.883268297E-1	1.747358640E-2
4.900000000E-1	6.883698943E-1	1.823999842E-2
5.000000000E-1	6.883727227E-1	1.812463028E-2
5.100000000E-1	6.884770727E-1	1.811271562E-2
5.200000000E-1	6.884139344E-1	1.779299292E-2
5.300000000E-1	6.884089517E-1	1.768141871E-2
5.400000000E-1	6.884113328E-1	1.749456760E-2
5.500000000E-1	6.884373489E-1	1.777093363E-2
5.600000000E-1	6.884232125E-1	1.762438407E-2
5.700000000E-1	6.884316128E-1	1.764307608E-2
5.800000000E-1	6.884374324E-1	1.765169740E-2


FUKET SG PÅ TRED SISTE TING
