mass_A
t	x	y
0.000000000E0	3.433439566E-2	5.856361099E-1
1.000000000E-2	3.936352154E-2	5.771411029E-1
2.000000000E-2	4.455940928E-2	5.678610432E-1
3.000000000E-2	4.999360953E-2	5.582370943E-1
4.000000000E-2	5.577249320E-2	5.480860439E-1
5.000000000E-2	6.171102308E-2	5.375255014E-1
6.000000000E-2	6.800022787E-2	5.262900690E-1
7.000000000E-2	7.443006901E-2	5.149177817E-1
8.000000000E-2	8.146830413E-2	5.026725729E-1
9.000000000E-2	8.885245068E-2	4.898693380E-1
1.000000000E-1	9.660682634E-2	4.772256417E-1
1.100000000E-1	1.048510240E-1	4.638598758E-1
1.200000000E-1	1.132477361E-1	4.498176006E-1
1.300000000E-1	1.223464186E-1	4.354352319E-1
1.400000000E-1	1.320845757E-1	4.207692968E-1
1.500000000E-1	1.423595175E-1	4.055555502E-1
1.600000000E-1	1.531328177E-1	3.904176859E-1
1.700000000E-1	1.645098400E-1	3.753762899E-1
1.800000000E-1	1.765299068E-1	3.595146020E-1
1.900000000E-1	1.897047645E-1	3.431812605E-1
2.000000000E-1	2.033878279E-1	3.271052717E-1
2.100000000E-1	2.181837547E-1	3.106016534E-1
2.200000000E-1	2.336741453E-1	2.944591670E-1
2.300000000E-1	2.498863963E-1	2.787789540E-1
2.400000000E-1	2.662667720E-1	2.636259969E-1
2.500000000E-1	2.845464551E-1	2.473295852E-1
2.600000000E-1	3.031918293E-1	2.316125602E-1
2.700000000E-1	3.235541844E-1	2.166711917E-1
2.800000000E-1	3.429542555E-1	2.022080491E-1
2.900000000E-1	3.642945897E-1	1.871175093E-1
3.000000000E-1	3.864168403E-1	1.734988314E-1
3.100000000E-1	4.078149045E-1	1.616622610E-1
3.200000000E-1	4.317815127E-1	1.478709826E-1
3.300000000E-1	4.549350826E-1	1.361695998E-1
3.400000000E-1	4.788676985E-1	1.244044783E-1
3.500000000E-1	5.041200962E-1	1.140691289E-1
3.600000000E-1	5.292351603E-1	1.053524312E-1
3.700000000E-1	5.547664799E-1	9.404393076E-2
3.800000000E-1	5.807081879E-1	8.410399617E-2
3.900000000E-1	6.080769106E-1	7.446200626E-2
4.000000000E-1	6.349375061E-1	6.522633438E-2
4.100000000E-1	6.627032858E-1	5.730701370E-2
4.200000000E-1	6.909253526E-1	4.845012561E-2
4.300000000E-1	7.203551233E-1	4.155055414E-2
4.400000000E-1	7.474960619E-1	3.496732731E-2
4.500000000E-1	7.761983716E-1	2.982868829E-2
4.600000000E-1	8.046006688E-1	2.595262450E-2
4.700000000E-1	8.328840828E-1	2.259885188E-2
4.800000000E-1	8.620337289E-1	2.052709770E-2

