mass_A
t	x	y
0.000000000E0	3.534133048E-2	5.875186402E-1
1.000000000E-2	3.992629258E-2	5.790975444E-1
2.000000000E-2	4.481871345E-2	5.702052519E-1
3.000000000E-2	5.005940878E-2	5.608609633E-1
4.000000000E-2	5.545583004E-2	5.509143282E-1
5.000000000E-2	6.144252526E-2	5.404726103E-1
6.000000000E-2	6.733318194E-2	5.294733466E-1
7.000000000E-2	7.352743368E-2	5.181463769E-1
8.000000000E-2	8.028645969E-2	5.061300272E-1
9.000000000E-2	8.736936157E-2	4.937977204E-1
1.000000000E-1	9.513458948E-2	4.809375595E-1
1.100000000E-1	1.032159249E-1	4.680339303E-1
1.200000000E-1	1.115095728E-1	4.543104002E-1
1.300000000E-1	1.203476061E-1	4.403703233E-1
1.400000000E-1	1.298707958E-1	4.259440216E-1
1.500000000E-1	1.401726195E-1	4.108942347E-1
1.600000000E-1	1.508291686E-1	3.955371907E-1
1.700000000E-1	1.622826393E-1	3.800353142E-1
1.800000000E-1	1.747273896E-1	3.639058356E-1
1.900000000E-1	1.875026526E-1	3.479687616E-1
2.000000000E-1	2.008856193E-1	3.318911629E-1
2.100000000E-1	2.157526760E-1	3.154721306E-1
2.200000000E-1	2.309173094E-1	2.996745587E-1
2.300000000E-1	2.471515069E-1	2.837829946E-1
2.400000000E-1	2.635528565E-1	2.692234191E-1
2.500000000E-1	2.809794893E-1	2.519642582E-1
2.600000000E-1	2.994541781E-1	2.364914164E-1
2.700000000E-1	3.192963988E-1	2.214590289E-1
2.800000000E-1	3.387321920E-1	2.065994236E-1
2.900000000E-1	3.594536733E-1	1.922519639E-1
3.000000000E-1	3.813709423E-1	1.781118134E-1
3.100000000E-1	4.034013111E-1	1.651008554E-1
3.200000000E-1	4.252353975E-1	1.522458754E-1
3.300000000E-1	4.483091563E-1	1.400579119E-1
3.400000000E-1	4.728393011E-1	1.281362296E-1
3.500000000E-1	4.976079211E-1	1.179358823E-1
3.600000000E-1	5.240151684E-1	1.107881106E-1
3.700000000E-1	5.486750431E-1	9.700635961E-2
3.800000000E-1	5.748251131E-1	8.741131269E-2
3.900000000E-1	6.014576561E-1	7.761635857E-2
4.000000000E-1	6.288968249E-1	6.806115264E-2
4.100000000E-1	6.560212564E-1	6.012881387E-2
4.200000000E-1	6.842516784E-1	5.164270157E-2
4.300000000E-1	7.527700087E-1	9.176289381E-3
4.400000000E-1	7.402529497E-1	3.724415126E-2
