mass_A
t	x	y
0.000000000E0	2.168204072E-2	6.089707299E-1
1.000000000E-2	2.594069970E-2	6.015544706E-1
2.000000000E-2	3.084200145E-2	5.932160433E-1
3.000000000E-2	3.564013686E-2	5.846790055E-1
4.000000000E-2	4.070021259E-2	5.754900482E-1
5.000000000E-2	4.615687373E-2	5.658431777E-1
6.000000000E-2	5.196162459E-2	5.554698106E-1
7.000000000E-2	5.782846351E-2	5.448611310E-1
8.000000000E-2	6.412601246E-2	5.336415669E-1
9.000000000E-2	7.030342934E-2	5.218015443E-1
1.000000000E-1	7.722793954E-2	5.098761301E-1
1.100000000E-1	8.448416459E-2	4.972966194E-1
1.200000000E-1	9.217300713E-2	4.840149713E-1
1.300000000E-1	1.002308906E-1	4.705544740E-1
1.400000000E-1	1.086519335E-1	4.565893405E-1
1.500000000E-1	1.176045241E-1	4.421512020E-1
1.600000000E-1	1.269916957E-1	4.273829395E-1
1.700000000E-1	1.372452238E-1	4.123562898E-1
1.800000000E-1	1.477584792E-1	3.969947967E-1
1.900000000E-1	1.591693548E-1	3.813038859E-1
2.000000000E-1	1.713075413E-1	3.652792920E-1
2.100000000E-1	1.838789426E-1	3.493209802E-1
2.200000000E-1	1.974005132E-1	3.329177958E-1
2.300000000E-1	2.119652613E-1	3.162374921E-1
2.400000000E-1	2.273927557E-1	2.999422994E-1
2.500000000E-1	2.434535457E-1	2.837798569E-1
2.600000000E-1	2.601594821E-1	2.690543555E-1
2.700000000E-1	2.779951972E-1	2.518358926E-1
2.800000000E-1	2.966119156E-1	2.358603528E-1
2.900000000E-1	3.162245099E-1	2.205243834E-1
3.000000000E-1	3.362098134E-1	2.055324997E-1
3.100000000E-1	3.570399441E-1	1.910013206E-1
3.200000000E-1	3.790925683E-1	1.767167767E-1
3.300000000E-1	4.016834190E-1	1.635011289E-1
3.400000000E-1	4.249483850E-1	1.502865094E-1
3.500000000E-1	4.485527246E-1	1.382523060E-1
3.600000000E-1	4.726375349E-1	1.262005608E-1
3.700000000E-1	4.978125016E-1	1.161890928E-1
3.800000000E-1	5.244774742E-1	1.087148536E-1
3.900000000E-1	5.493184974E-1	9.526958318E-2
4.000000000E-1	5.756071823E-1	8.560426528E-2
4.100000000E-1	6.027756297E-1	7.568869573E-2
4.200000000E-1	6.304001795E-1	6.602095028E-2
4.300000000E-1	6.574628186E-1	5.829979087E-2
4.400000000E-1	6.859555742E-1	4.920895691E-2
4.500000000E-1	7.461175845E-1	6.079633037E-3
4.600000000E-1	7.426327577E-1	3.514740507E-2
