mass_A
t	x	y
0.000000000E0	2.465906542E-2	6.025788828E-1
1.000000000E-2	2.970922851E-2	5.940742452E-1
2.000000000E-2	3.503512528E-2	5.849666756E-1
3.000000000E-2	4.029968984E-2	5.754356311E-1
4.000000000E-2	4.599248706E-2	5.652426193E-1
5.000000000E-2	5.197894247E-2	5.543192609E-1
6.000000000E-2	5.827939127E-2	5.435125387E-1
7.000000000E-2	6.482653629E-2	5.320833783E-1
8.000000000E-2	7.171201989E-2	5.201153528E-1
9.000000000E-2	7.892966500E-2	5.074330123E-1
1.000000000E-1	8.638271817E-2	4.940485045E-1
1.100000000E-1	9.439133510E-2	4.806272424E-1
1.200000000E-1	1.028059503E-1	4.670540320E-1
1.300000000E-1	1.117084461E-1	4.525895755E-1
1.400000000E-1	1.210155623E-1	4.376428336E-1
1.500000000E-1	1.306929775E-1	4.226937574E-1
1.600000000E-1	1.414270813E-1	4.068543015E-1
1.700000000E-1	1.525647742E-1	3.913963636E-1
1.800000000E-1	1.642570037E-1	3.758438756E-1
1.900000000E-1	1.763929534E-1	3.599925251E-1
2.000000000E-1	1.897097552E-1	3.432106342E-1
2.100000000E-1	2.041037448E-1	3.265605666E-1
2.200000000E-1	2.188625638E-1	3.102678214E-1
2.300000000E-1	2.349661771E-1	2.938869926E-1
2.400000000E-1	2.514808447E-1	2.777206866E-1
2.500000000E-1	2.681509882E-1	2.619333095E-1
2.600000000E-1	2.865065981E-1	2.454373308E-1
2.700000000E-1	3.056524144E-1	2.296941847E-1
2.800000000E-1	3.263491588E-1	2.144822569E-1
2.900000000E-1	3.474272277E-1	1.985057888E-1
3.000000000E-1	3.680169396E-1	1.843514514E-1
3.100000000E-1	3.904033047E-1	1.704438164E-1
3.200000000E-1	4.132206295E-1	1.575264871E-1
3.300000000E-1	4.372924331E-1	1.442569603E-1
3.400000000E-1	4.624571866E-1	1.321485704E-1
3.500000000E-1	4.876684232E-1	1.208529203E-1
3.600000000E-1	5.130221035E-1	1.112227924E-1
3.700000000E-1	5.392955158E-1	1.001318300E-1
3.800000000E-1	5.662075094E-1	9.024049255E-2
3.900000000E-1	5.929761681E-1	8.033723111E-2
4.000000000E-1	6.202976183E-1	7.084516153E-2
4.100000000E-1	6.480073678E-1	6.256773475E-2
4.200000000E-1	6.764929189E-1	5.477141991E-2
4.300000000E-1	7.033770607E-1	4.824344070E-2
4.400000000E-1	7.327847187E-1	3.913436168E-2
4.500000000E-1	7.617384250E-1	3.367730762E-2
4.600000000E-1	7.913562946E-1	2.917532321E-2
4.700000000E-1	8.207475940E-1	2.578389362E-2
4.800000000E-1	8.504993481E-1	2.262708539E-2
4.900000000E-1	8.784699934E-1	2.067104494E-2
5.000000000E-1	9.093570202E-1	1.948274478E-2
5.100000000E-1	9.395128179E-1	1.756767811E-2
5.200000000E-1	9.692418162E-1	1.621815048E-2
