mass_A
t	x	y
0.000000000E0	2.553466091E-2	6.025788828E-1
1.000000000E-2	3.143683945E-2	5.928408172E-1
2.000000000E-2	3.728959323E-2	5.828562215E-1
3.000000000E-2	4.344834687E-2	5.721509414E-1
4.000000000E-2	4.992092103E-2	5.609363853E-1
5.000000000E-2	5.694173785E-2	5.494412892E-1
6.000000000E-2	6.400708772E-2	5.373030542E-1
7.000000000E-2	7.117574594E-2	5.245414072E-1
8.000000000E-2	7.876638361E-2	5.114986911E-1
9.000000000E-2	8.671532461E-2	4.981340384E-1
1.000000000E-1	9.553461690E-2	4.840390227E-1
1.100000000E-1	1.044278731E-1	4.699823652E-1
1.200000000E-1	1.134508846E-1	4.550930411E-1
1.300000000E-1	1.233443539E-1	4.400924841E-1
1.400000000E-1	1.335409475E-1	4.247214277E-1
1.500000000E-1	1.447753534E-1	4.082783507E-1
1.600000000E-1	1.561117269E-1	3.926508115E-1
1.700000000E-1	1.676547000E-1	3.767944040E-1
1.800000000E-1	1.798892637E-1	3.608813029E-1
1.900000000E-1	1.930005210E-1	3.444191232E-1
2.000000000E-1	2.071190247E-1	3.275664423E-1
2.100000000E-1	2.213091943E-1	3.115571534E-1
2.200000000E-1	2.368633354E-1	2.955878365E-1
2.300000000E-1	2.530137037E-1	2.799248967E-1
2.400000000E-1	2.692456526E-1	2.638818107E-1
2.500000000E-1	2.873697395E-1	2.473295301E-1
2.600000000E-1	3.061528527E-1	2.314132099E-1
2.700000000E-1	3.268209618E-1	2.164422039E-1
2.800000000E-1	3.469467928E-1	2.008386486E-1
2.900000000E-1	3.681784063E-1	1.867088163E-1
3.000000000E-1	3.902965032E-1	1.727771605E-1
3.100000000E-1	4.123016652E-1	1.602114941E-1
3.200000000E-1	4.366726867E-1	1.465630178E-1
3.300000000E-1	4.615300561E-1	1.341344335E-1
3.400000000E-1	4.869549514E-1	1.226827807E-1
3.500000000E-1	5.123028250E-1	1.127641852E-1
3.600000000E-1	5.378609127E-1	1.020775020E-1
3.700000000E-1	5.649483418E-1	9.200701377E-2
3.800000000E-1	5.919697619E-1	8.183554490E-2
3.900000000E-1	6.189425293E-1	7.254902335E-2
4.000000000E-1	6.469887002E-1	6.361334195E-2
4.100000000E-1	6.754447682E-1	5.657087284E-2
4.200000000E-1	7.024484761E-1	4.884360507E-2
4.300000000E-1	7.321859172E-1	4.030503080E-2
4.400000000E-1	7.614593535E-1	3.457719083E-2
4.500000000E-1	7.904244398E-1	2.991947368E-2
4.600000000E-1	8.199058647E-1	2.652440802E-2
4.700000000E-1	8.500795807E-1	2.345192828E-2
4.800000000E-1	8.783028129E-1	2.158425000E-2
4.900000000E-1	9.099254307E-1	1.991592694E-2
5.000000000E-1	9.396516705E-1	1.838941040E-2
5.100000000E-1	9.697747300E-1	1.661568238E-2
5.200000000E-1	9.997715320E-1	1.561038797E-2
