mass_A
t	x	y
0.000000000E0	2.592867889E-2	6.013968289E-1
1.000000000E-2	3.009798922E-2	5.939862321E-1
2.000000000E-2	3.436538890E-2	5.864140930E-1
3.000000000E-2	3.898155621E-2	5.782299844E-1
4.000000000E-2	4.379582026E-2	5.695616541E-1
5.000000000E-2	4.901410562E-2	5.603485649E-1
6.000000000E-2	5.447658998E-2	5.508131687E-1
7.000000000E-2	6.037998641E-2	5.405426027E-1
8.000000000E-2	6.620186926E-2	5.298173302E-1
9.000000000E-2	7.243692037E-2	5.186113746E-1
1.000000000E-1	7.925720738E-2	5.068842704E-1
1.100000000E-1	8.643061425E-2	4.949406695E-1
1.200000000E-1	9.422979751E-2	4.824183406E-1
1.300000000E-1	1.023740342E-1	4.693456638E-1
1.400000000E-1	1.104113900E-1	4.557206215E-1
1.500000000E-1	1.193419524E-1	4.417343773E-1
1.600000000E-1	1.289724069E-1	4.272189651E-1
1.700000000E-1	1.393272771E-1	4.122046033E-1
1.800000000E-1	1.498608941E-1	3.971405710E-1
1.900000000E-1	1.613458214E-1	3.819070120E-1
2.000000000E-1	1.734281585E-1	3.660806266E-1
2.100000000E-1	1.856979603E-1	3.504314860E-1
2.200000000E-1	1.989363369E-1	3.344646071E-1
2.300000000E-1	2.130258486E-1	3.183944449E-1
2.400000000E-1	2.280154544E-1	3.028836782E-1
2.500000000E-1	2.437169696E-1	2.871195229E-1
2.600000000E-1	2.602676120E-1	2.721640071E-1
2.700000000E-1	2.768714484E-1	2.557623609E-1
2.800000000E-1	2.949343926E-1	2.401916505E-1
2.900000000E-1	3.139087673E-1	2.249715470E-1
3.000000000E-1	3.337923929E-1	2.101914568E-1
3.100000000E-1	3.545109915E-1	1.956808405E-1
3.200000000E-1	3.756058824E-1	1.819109332E-1
3.300000000E-1	3.978053380E-1	1.684283414E-1
3.400000000E-1	4.197891520E-1	1.555848930E-1
3.500000000E-1	4.428174091E-1	1.436868637E-1
3.600000000E-1	4.665812118E-1	1.318773584E-1
3.700000000E-1	4.911759532E-1	1.211915120E-1
3.800000000E-1	5.154068915E-1	1.122646911E-1
3.900000000E-1	5.415047268E-1	1.007803842E-1
4.000000000E-1	5.676144332E-1	9.091411105E-2
4.100000000E-1	5.939829234E-1	8.128649566E-2
4.200000000E-1	6.207335177E-1	7.204228302E-2
4.300000000E-1	6.479118114E-1	6.332922522E-2
4.400000000E-1	6.757328137E-1	5.623466104E-2
4.500000000E-1	7.022986046E-1	4.849659717E-2
4.600000000E-1	7.311322774E-1	4.019489985E-2
4.700000000E-1	7.601223443E-1	3.422324317E-2
4.800000000E-1	7.889199703E-1	2.980154544E-2
4.900000000E-1	8.181293791E-1	2.599036568E-2
5.000000000E-1	8.476773930E-1	2.293678456E-2
5.100000000E-1	8.760486829E-1	2.057865353E-2
5.200000000E-1	9.073584398E-1	1.934707970E-2
5.300000000E-1	9.360314529E-1	1.730475112E-2
5.400000000E-1	9.648529481E-1	1.596301496E-2
5.500000000E-1	9.937091569E-1	1.500491107E-2
5.600000000E-1	1.022172411E0	1.390904876E-2
5.700000000E-1	1.050710305E0	1.324263949E-2
5.800000000E-1	1.078589397E0	1.295811875E-2
