mass_A
t	x	y
0.000000000E0	3.774586870E-2	5.822242093E-1
1.000000000E-2	4.319002683E-2	5.726948374E-1
2.000000000E-2	4.916229308E-2	5.623206672E-1
3.000000000E-2	5.499268386E-2	5.518574012E-1
4.000000000E-2	6.135916174E-2	5.411005132E-1
5.000000000E-2	6.805680655E-2	5.295412055E-1
6.000000000E-2	7.479833086E-2	5.172407263E-1
7.000000000E-2	8.195866230E-2	5.046258962E-1
8.000000000E-2	8.950612011E-2	4.915993505E-1
9.000000000E-2	9.768540974E-2	4.782571989E-1
1.000000000E-1	1.063537181E-1	4.647968734E-1
1.100000000E-1	1.146744871E-1	4.500574467E-1
1.200000000E-1	1.239718387E-1	4.353395318E-1
1.300000000E-1	1.342611883E-1	4.198353627E-1
1.400000000E-1	1.448893115E-1	4.039622500E-1
1.500000000E-1	1.555220013E-1	3.886851729E-1
1.600000000E-1	1.671172772E-1	3.731981129E-1
1.700000000E-1	1.793666734E-1	3.568750860E-1
1.800000000E-1	1.926124021E-1	3.406884784E-1
1.900000000E-1	2.066359480E-1	3.239361520E-1
2.000000000E-1	2.213052271E-1	3.075772396E-1
2.100000000E-1	2.373373780E-1	2.914182693E-1
2.200000000E-1	2.533662789E-1	2.755696825E-1
2.300000000E-1	2.700472350E-1	2.596790711E-1
2.400000000E-1	2.881094065E-1	2.436550620E-1
2.500000000E-1	3.068924008E-1	2.279074412E-1
2.600000000E-1	3.277366456E-1	2.126003719E-1
2.700000000E-1	3.486250495E-1	1.969082334E-1
2.800000000E-1	3.688594427E-1	1.832112717E-1
2.900000000E-1	3.911573125E-1	1.694988062E-1
3.000000000E-1	4.134321096E-1	1.562947783E-1
3.100000000E-1	4.381679373E-1	1.434477526E-1
3.200000000E-1	4.627941406E-1	1.310417650E-1
3.300000000E-1	4.884910946E-1	1.199937508E-1
3.400000000E-1	5.134442507E-1	1.098196935E-1
3.500000000E-1	5.408033916E-1	9.900185315E-2
3.600000000E-1	5.675032628E-1	8.970729803E-2
3.700000000E-1	5.935228075E-1	7.954789402E-2
3.800000000E-1	6.208849642E-1	7.054635784E-2
3.900000000E-1	6.483172677E-1	6.197342365E-2
4.000000000E-1	6.763835315E-1	5.413569856E-2
4.100000000E-1	7.029891982E-1	4.662079681E-2
4.200000000E-1	7.319926298E-1	3.887107688E-2
4.300000000E-1	7.601300945E-1	3.345751723E-2
4.400000000E-1	7.892477881E-1	2.849811565E-2
4.500000000E-1	8.187998826E-1	2.533268575E-2
4.600000000E-1	8.482929188E-1	2.198525011E-2
4.700000000E-1	8.769373541E-1	1.994695456E-2
4.800000000E-1	9.083103215E-1	1.793865038E-2
4.900000000E-1	9.384458658E-1	1.613967169E-2
5.000000000E-1	9.684112552E-1	1.458008098E-2
5.100000000E-1	9.983894111E-1	1.275664134E-2
5.200000000E-1	1.027654693E0	1.245559309E-2
