mass_A
t	x	y
0.000000000E0	1.163395790E-2	6.443837524E-1
1.000000000E-2	1.861371317E-2	6.403600633E-1
2.000000000E-2	2.410462689E-2	6.373200419E-1
3.000000000E-2	3.104917233E-2	6.332527820E-1
4.000000000E-2	3.809203821E-2	6.291774792E-1
5.000000000E-2	4.522610985E-2	6.250819935E-1
6.000000000E-2	5.350074221E-2	6.201773393E-1
7.000000000E-2	6.081593099E-2	6.160104640E-1
8.000000000E-2	6.925625560E-2	6.107984525E-1
9.000000000E-2	7.761880852E-2	6.058337388E-1
1.000000000E-1	8.631172108E-2	6.005520854E-1
1.100000000E-1	9.585124891E-2	5.947724571E-1
1.200000000E-1	1.044020821E-1	5.895774662E-1
1.300000000E-1	1.138201498E-1	5.833282903E-1
1.400000000E-1	1.233951989E-1	5.774900824E-1
1.500000000E-1	1.329672745E-1	5.711701868E-1
1.600000000E-1	1.437649456E-1	5.644262304E-1
1.700000000E-1	1.527761461E-1	5.582702345E-1
1.800000000E-1	1.623715535E-1	5.516642826E-1
1.900000000E-1	1.732037727E-1	5.449433250E-1
2.000000000E-1	1.842027938E-1	5.377763369E-1
2.100000000E-1	1.952681788E-1	5.306506252E-1
2.200000000E-1	2.076385132E-1	5.227048370E-1
2.300000000E-1	2.194012848E-1	5.152758745E-1
2.400000000E-1	2.324588096E-1	5.072363947E-1
2.500000000E-1	2.455007761E-1	4.994307691E-1
2.600000000E-1	2.589127456E-1	4.911426725E-1
2.700000000E-1	2.725504571E-1	4.831067738E-1
2.800000000E-1	2.863647327E-1	4.746539446E-1
2.900000000E-1	3.010572404E-1	4.659754211E-1
3.000000000E-1	3.162188885E-1	4.579155268E-1
3.100000000E-1	3.310648505E-1	4.477258674E-1
3.200000000E-1	3.462920955E-1	4.384208814E-1
3.300000000E-1	3.617137296E-1	4.292371618E-1
3.400000000E-1	3.774039420E-1	4.201915994E-1
3.500000000E-1	3.940103436E-1	4.100471997E-1
3.600000000E-1	4.110367990E-1	3.999468304E-1
3.700000000E-1	4.276414726E-1	3.903750272E-1
3.800000000E-1	4.450042896E-1	3.803741420E-1
3.900000000E-1	4.631570476E-1	3.696572767E-1
4.000000000E-1	4.808687647E-1	3.591780056E-1
4.100000000E-1	5.032457767E-1	3.527735418E-1
4.200000000E-1	5.181123535E-1	3.372046136E-1
4.300000000E-1	5.371204142E-1	3.257950838E-1
4.400000000E-1	5.562919331E-1	3.145943402E-1
4.500000000E-1	5.762314597E-1	3.028486223E-1
4.600000000E-1	5.959109500E-1	2.915288686E-1
4.700000000E-1	6.164924154E-1	2.792588717E-1
4.800000000E-1	6.373560798E-1	2.670403905E-1
4.900000000E-1	6.582101765E-1	2.556383194E-1
5.000000000E-1	6.795654641E-1	2.434685986E-1
5.100000000E-1	7.017056822E-1	2.313089113E-1
5.200000000E-1	7.240376480E-1	2.195280412E-1
5.300000000E-1	7.463364397E-1	2.078847667E-1
5.400000000E-1	7.697633895E-1	1.960890541E-1
5.500000000E-1	7.929227688E-1	1.845013007E-1
5.600000000E-1	8.171305514E-1	1.725574244E-1
5.700000000E-1	8.415812418E-1	1.605821727E-1
5.800000000E-1	8.651825559E-1	1.494563558E-1
5.900000000E-1	8.904513201E-1	1.369659707E-1
6.000000000E-1	9.154932703E-1	1.250338484E-1
6.100000000E-1	9.408856026E-1	1.135078506E-1
6.200000000E-1	9.674143992E-1	1.016847112E-1
6.300000000E-1	9.933587292E-1	9.011410913E-2
6.400000000E-1	1.019405961E0	7.912752476E-2
6.500000000E-1	1.048368270E0	6.718573899E-2
6.600000000E-1	1.074623099E0	6.273222803E-2
6.700000000E-1	1.102531121E0	4.564878614E-2
6.800000000E-1	1.131305247E0	3.482897889E-2
6.900000000E-1	1.159255815E0	2.424070812E-2
