mass_A
t	x	y
0.000000000E0	2.511133088E-2	6.370616854E-1
1.000000000E-2	3.225126821E-2	6.330909203E-1
2.000000000E-2	3.924219528E-2	6.289823245E-1
3.000000000E-2	4.640468162E-2	6.249150602E-1
4.000000000E-2	5.352716284E-2	6.207909213E-1
5.000000000E-2	6.188873009E-2	6.158658393E-1
6.000000000E-2	7.035775178E-2	6.106713298E-1
7.000000000E-2	7.888206640E-2	6.057076970E-1
8.000000000E-2	8.719341575E-2	6.006290061E-1
9.000000000E-2	9.590227751E-2	5.952687825E-1
1.000000000E-1	1.053567427E-1	5.894503694E-1
1.100000000E-1	1.148115235E-1	5.833823895E-1
1.200000000E-1	1.246048974E-1	5.772325071E-1
1.300000000E-1	1.352840750E-1	5.701265597E-1
1.400000000E-1	1.452140350E-1	5.640150622E-1
1.500000000E-1	1.542915551E-1	5.580609898E-1
1.600000000E-1	1.662285084E-1	5.498798187E-1
1.700000000E-1	1.773550776E-1	5.426538261E-1
1.800000000E-1	1.893038778E-1	5.347103192E-1
1.900000000E-1	2.007589109E-1	5.275468203E-1
2.000000000E-1	2.133022222E-1	5.196410075E-1
2.100000000E-1	2.251863453E-1	5.122752368E-1
2.200000000E-1	2.381120985E-1	5.041584617E-1
2.300000000E-1	2.510968833E-1	4.961274295E-1
2.400000000E-1	2.645590430E-1	4.882164223E-1
2.500000000E-1	2.777744857E-1	4.799714708E-1
2.600000000E-1	2.914511997E-1	4.718366318E-1
2.700000000E-1	3.053047736E-1	4.634945273E-1
2.800000000E-1	3.203379411E-1	4.545890184E-1
2.900000000E-1	3.353461225E-1	4.453012174E-1
3.000000000E-1	3.502754632E-1	4.363067226E-1
3.100000000E-1	3.658887861E-1	4.269879892E-1
3.200000000E-1	3.813034984E-1	4.178718420E-1
3.300000000E-1	3.981110889E-1	4.079373025E-1
3.400000000E-1	4.145906351E-1	3.984281653E-1
3.500000000E-1	4.317759797E-1	3.884643755E-1
3.600000000E-1	4.491201796E-1	3.782912483E-1
3.700000000E-1	4.667723231E-1	3.681285497E-1
3.800000000E-1	4.849350206E-1	3.572049491E-1
3.900000000E-1	5.058975694E-1	3.518170067E-1
4.000000000E-1	5.216999395E-1	3.357831663E-1
4.100000000E-1	5.402838080E-1	3.245830221E-1
4.200000000E-1	5.595832331E-1	3.134163295E-1
4.300000000E-1	5.791210830E-1	3.018720513E-1
4.400000000E-1	5.986084601E-1	2.903126968E-1
4.500000000E-1	6.189199428E-1	2.782474404E-1
4.600000000E-1	6.398279249E-1	2.666907863E-1
4.700000000E-1	6.611043004E-1	2.546502357E-1
4.800000000E-1	6.818889193E-1	2.426300822E-1
4.900000000E-1	7.041848668E-1	2.304735231E-1
5.000000000E-1	7.263415076E-1	2.189098566E-1
5.100000000E-1	7.491576143E-1	2.070802644E-1
5.200000000E-1	7.721364941E-1	1.956452533E-1
5.300000000E-1	7.958266273E-1	1.837039728E-1
5.400000000E-1	8.194824935E-1	1.723072344E-1
5.500000000E-1	8.434279994E-1	1.604205280E-1
5.600000000E-1	8.671847139E-1	1.504742542E-1
5.700000000E-1	8.920276532E-1	1.371771454E-1
5.800000000E-1	9.164835818E-1	1.257902849E-1
5.900000000E-1	9.424539915E-1	1.137008977E-1
6.000000000E-1	9.679078505E-1	1.023906270E-1
6.100000000E-1	9.940106495E-1	9.121480523E-2
6.200000000E-1	1.019376218E0	7.996082959E-2
6.300000000E-1	1.046917442E0	6.964206232E-2
6.400000000E-1	1.074082927E0	6.380004362E-2
6.500000000E-1	1.101934980E0	4.775157997E-2
6.600000000E-1	1.130391684E0	3.697303486E-2
6.700000000E-1	1.159108580E0	2.631821588E-2
6.800000000E-1	1.188310529E0	1.720051150E-2
