mass_A
t	x	y
0.000000000E0	5.419243434E-2	6.199339146E-1
1.000000000E-2	6.132376901E-2	6.158658478E-1
2.000000000E-2	6.955589051E-2	6.109274455E-1
3.000000000E-2	7.782602000E-2	6.060536847E-1
4.000000000E-2	8.525450887E-2	6.012897420E-1
5.000000000E-2	9.466356805E-2	5.956807413E-1
6.000000000E-2	1.030082801E-1	5.905852083E-1
7.000000000E-2	1.121359381E-1	5.846662661E-1
8.000000000E-2	1.220772278E-1	5.784474993E-1
9.000000000E-2	1.314366868E-1	5.723977660E-1
1.000000000E-1	1.424828304E-1	5.652103869E-1
1.100000000E-1	1.516753181E-1	5.591528931E-1
1.200000000E-1	1.622532841E-1	5.523678855E-1
1.300000000E-1	1.728975870E-1	5.449122013E-1
1.400000000E-1	1.840791541E-1	5.377313600E-1
1.500000000E-1	1.951078176E-1	5.305878387E-1
1.600000000E-1	2.064747676E-1	5.234395915E-1
1.700000000E-1	2.187220505E-1	5.155921497E-1
1.800000000E-1	2.317798551E-1	5.075196033E-1
1.900000000E-1	2.440203887E-1	5.001202029E-1
2.000000000E-1	2.571619662E-1	4.920604676E-1
2.100000000E-1	2.708985216E-1	4.837623079E-1
2.200000000E-1	2.845404672E-1	4.756564443E-1
2.300000000E-1	2.991179805E-1	4.671235194E-1
2.400000000E-1	3.137179419E-1	4.593571665E-1
2.500000000E-1	3.280149712E-1	4.493349516E-1
2.600000000E-1	3.433052175E-1	4.402544021E-1
2.700000000E-1	3.586444631E-1	4.311643081E-1
2.800000000E-1	3.752426722E-1	4.215140150E-1
2.900000000E-1	3.907384738E-1	4.119232486E-1
3.000000000E-1	4.072708556E-1	4.023663781E-1
3.100000000E-1	4.242733465E-1	3.925650207E-1
3.200000000E-1	4.413358393E-1	3.822409224E-1
3.300000000E-1	4.590059285E-1	3.723409253E-1
3.400000000E-1	4.772551852E-1	3.613307905E-1
3.500000000E-1	4.953727900E-1	3.536277700E-1
3.600000000E-1	5.138511602E-1	3.401578494E-1
3.700000000E-1	5.328510807E-1	3.287989791E-1
3.800000000E-1	5.513612558E-1	3.176029973E-1
3.900000000E-1	5.708426952E-1	3.063678691E-1
4.000000000E-1	5.909919550E-1	2.946018665E-1
4.100000000E-1	6.112016465E-1	2.824673653E-1
4.200000000E-1	6.315359936E-1	2.708062172E-1
4.300000000E-1	6.527265234E-1	2.588749983E-1
4.400000000E-1	6.741928063E-1	2.467673536E-1
4.500000000E-1	6.999576634E-1	2.328274556E-1
4.600000000E-1	7.176085749E-1	2.230680708E-1
4.700000000E-1	7.403190970E-1	2.112097186E-1
4.800000000E-1	7.629699055E-1	1.993849974E-1
4.900000000E-1	7.865391262E-1	1.877145451E-1
5.000000000E-1	8.100835809E-1	1.764883980E-1
5.100000000E-1	8.341978034E-1	1.641158362E-1
5.200000000E-1	8.580592819E-1	1.531737251E-1
5.300000000E-1	8.899125919E-1	1.377299845E-1
5.400000000E-1	9.096391670E-1	1.280069053E-1
5.500000000E-1	9.341843480E-1	1.171493985E-1
5.600000000E-1	9.594428675E-1	1.054802237E-1
5.700000000E-1	9.857080096E-1	9.431978952E-2
5.800000000E-1	1.014269490E0	8.137302681E-2
5.900000000E-1	1.039626691E0	7.123161311E-2
6.000000000E-1	1.069911056E0	6.513050573E-2
6.100000000E-1	1.095029364E0	4.849844337E-2
6.200000000E-1	1.123537750E0	3.758831283E-2
6.300000000E-1	1.152400226E0	2.666882602E-2
