mass_A
t	x	y
0.000000000E0	2.936850342E-2	6.334810311E-1
1.000000000E-2	3.647202837E-2	6.294468140E-1
2.000000000E-2	4.349123052E-2	6.253338765E-1
3.000000000E-2	5.175337236E-2	6.203888738E-1
4.000000000E-2	5.898954576E-2	6.162995755E-1
5.000000000E-2	6.745884099E-2	6.110872667E-1
6.000000000E-2	7.605939384E-2	6.061605014E-1
7.000000000E-2	8.431276911E-2	6.011366369E-1
8.000000000E-2	9.282572189E-2	5.957601888E-1
9.000000000E-2	1.014681680E-1	5.907684229E-1
1.000000000E-1	1.107585123E-1	5.847677403E-1
1.100000000E-1	1.206745772E-1	5.785749274E-1
1.200000000E-1	1.302394573E-1	5.725923816E-1
1.300000000E-1	1.409908877E-1	5.654941835E-1
1.400000000E-1	1.501823896E-1	5.594629993E-1
1.500000000E-1	1.610656484E-1	5.521592598E-1
1.600000000E-1	1.727854382E-1	5.445791197E-1
1.700000000E-1	1.838272177E-1	5.372443023E-1
1.800000000E-1	1.949052431E-1	5.300766022E-1
1.900000000E-1	2.072166126E-1	5.220820571E-1
2.000000000E-1	2.190282905E-1	5.146778631E-1
2.100000000E-1	2.322050328E-1	5.066034585E-1
2.200000000E-1	2.452750762E-1	4.984835530E-1
2.300000000E-1	2.586908804E-1	4.904659477E-1
2.400000000E-1	2.724900009E-1	4.821251064E-1
2.500000000E-1	2.870087926E-1	4.734110089E-1
2.600000000E-1	3.012645604E-1	4.650174523E-1
2.700000000E-1	3.165150473E-1	4.569163706E-1
2.800000000E-1	3.310928673E-1	4.469907765E-1
2.900000000E-1	3.462758440E-1	4.377434505E-1
3.000000000E-1	3.616581662E-1	4.285434315E-1
3.100000000E-1	3.772667399E-1	4.191967865E-1
3.200000000E-1	3.938951432E-1	4.093588312E-1
3.300000000E-1	4.109162969E-1	3.992940228E-1
3.400000000E-1	4.279948188E-1	3.891788865E-1
3.500000000E-1	4.453921616E-1	3.790458098E-1
3.600000000E-1	4.628641405E-1	3.687516303E-1
3.700000000E-1	4.813165462E-1	3.578310027E-1
3.800000000E-1	5.024334610E-1	3.523444823E-1
3.900000000E-1	5.176672174E-1	3.362902553E-1
4.000000000E-1	5.365484695E-1	3.250031351E-1
4.100000000E-1	5.557740610E-1	3.137322197E-1
4.200000000E-1	5.759597607E-1	3.017915027E-1
4.300000000E-1	5.957358753E-1	2.904384489E-1
4.400000000E-1	6.161428982E-1	2.784895540E-1
4.500000000E-1	6.370649430E-1	2.663419157E-1
4.600000000E-1	6.584348756E-1	2.543301719E-1
4.700000000E-1	6.798745358E-1	2.419743675E-1
4.800000000E-1	7.018770286E-1	2.298128175E-1
4.900000000E-1	7.237402046E-1	2.185518843E-1
5.000000000E-1	7.468599372E-1	2.064729727E-1
5.100000000E-1	7.697194600E-1	1.947891960E-1
5.200000000E-1	7.935392702E-1	1.830277282E-1
5.300000000E-1	8.178630176E-1	1.712634146E-1
5.400000000E-1	8.413948088E-1	1.594971577E-1
5.500000000E-1	8.655521511E-1	1.483512144E-1
5.600000000E-1	8.909651665E-1	1.355457908E-1
5.700000000E-1	9.154848269E-1	1.240716270E-1
5.800000000E-1	9.419627164E-1	1.120226260E-1
5.900000000E-1	9.685670014E-1	9.992527731E-2
6.000000000E-1	9.947546080E-1	8.869438410E-2
6.100000000E-1	1.020545122E0	7.725596391E-2
6.200000000E-1	1.050022908E0	6.554380805E-2
6.300000000E-1	1.079929473E0	5.526512987E-2
6.400000000E-1	1.105682498E0	4.302888912E-2
