mass_A
t	x	y
0.000000000E0	3.496679580E-2	6.311814588E-1
1.000000000E-2	4.204662192E-2	6.271370244E-1
2.000000000E-2	4.904378869E-2	6.230143940E-1
3.000000000E-2	5.614112404E-2	6.189140055E-1
4.000000000E-2	6.447836220E-2	6.139958183E-1
5.000000000E-2	7.164953503E-2	6.098247187E-1
6.000000000E-2	8.139961867E-2	6.038089275E-1
7.000000000E-2	8.972913136E-2	5.987900289E-1
8.000000000E-2	9.803920066E-2	5.937057792E-1
9.000000000E-2	1.076633079E-1	5.875755056E-1
1.000000000E-1	1.171758018E-1	5.816080342E-1
1.100000000E-1	1.269366713E-1	5.753396552E-1
1.200000000E-1	1.366065114E-1	5.693005191E-1
1.300000000E-1	1.474904721E-1	5.621776092E-1
1.400000000E-1	1.566991551E-1	5.560497958E-1
1.500000000E-1	1.675754984E-1	5.486188465E-1
1.600000000E-1	1.798081635E-1	5.408747791E-1
1.700000000E-1	1.906847396E-1	5.340245862E-1
1.800000000E-1	2.018445953E-1	5.268394228E-1
1.900000000E-1	2.141212051E-1	5.185804867E-1
2.000000000E-1	2.261909896E-1	5.115179422E-1
2.100000000E-1	2.390747393E-1	5.033696617E-1
2.200000000E-1	2.522555636E-1	4.953339524E-1
2.300000000E-1	2.657957403E-1	4.873144441E-1
2.400000000E-1	2.793535366E-1	4.788638853E-1
2.500000000E-1	2.934980053E-1	4.705308930E-1
2.600000000E-1	3.079868922E-1	4.623159283E-1
2.700000000E-1	3.230187272E-1	4.527237237E-1
2.800000000E-1	3.383411761E-1	4.434956886E-1
2.900000000E-1	3.536116553E-1	4.343794178E-1
3.000000000E-1	3.690671656E-1	4.251799750E-1
3.100000000E-1	3.847865383E-1	4.157990526E-1
3.200000000E-1	4.019390518E-1	4.059328865E-1
3.300000000E-1	4.188611734E-1	3.960702039E-1
3.400000000E-1	4.358857021E-1	3.858271719E-1
3.500000000E-1	4.533243891E-1	3.756056973E-1
3.600000000E-1	4.711238677E-1	3.652000187E-1
3.700000000E-1	4.894045615E-1	3.545424875E-1
3.800000000E-1	5.105521057E-1	3.465408642E-1
3.900000000E-1	5.272996421E-1	3.323528487E-1
4.000000000E-1	5.453830023E-1	3.212787580E-1
4.100000000E-1	5.653396703E-1	3.096433091E-1
4.200000000E-1	5.851165023E-1	2.980471980E-1
4.300000000E-1	6.052413385E-1	2.862807125E-1
4.400000000E-1	6.258740893E-1	2.744563125E-1
4.500000000E-1	6.466830594E-1	2.626188476E-1
4.600000000E-1	6.680676708E-1	2.506423017E-1
4.700000000E-1	6.926251596E-1	2.397398518E-1
4.800000000E-1	7.118148657E-1	2.265172769E-1
4.900000000E-1	7.343094797E-1	2.150117024E-1
5.000000000E-1	7.572172903E-1	2.030621429E-1
5.100000000E-1	7.807667978E-1	1.910767309E-1
5.200000000E-1	8.042343440E-1	1.797643901E-1
5.300000000E-1	8.283131580E-1	1.676379256E-1
5.400000000E-1	8.524022682E-1	1.562954983E-1
5.500000000E-1	8.898717947E-1	1.421069088E-1
5.600000000E-1	9.110302674E-1	1.283286642E-1
5.700000000E-1	9.286927824E-1	1.202363667E-1
5.800000000E-1	9.542840841E-1	1.084151947E-1
5.900000000E-1	9.805247377E-1	9.700596069E-2
6.000000000E-1	1.007233317E0	8.551718382E-2
6.100000000E-1	1.035493549E0	7.544919879E-2
6.200000000E-1	1.061330716E0	6.743639852E-2
6.300000000E-1	1.089313105E0	5.275367077E-2
6.400000000E-1	1.117663480E0	4.185257528E-2
