mass_A
t	x	y
0.000000000E0	2.828350832E-2	6.350532694E-1
1.000000000E-2	3.526406889E-2	6.310153494E-1
2.000000000E-2	4.239706359E-2	6.269439643E-1
3.000000000E-2	4.953982626E-2	6.228163227E-1
4.000000000E-2	5.784058559E-2	6.179456062E-1
5.000000000E-2	6.623706480E-2	6.131076412E-1
6.000000000E-2	7.481352224E-2	6.077458468E-1
7.000000000E-2	8.329461564E-2	6.027877726E-1
8.000000000E-2	9.193105886E-2	5.974003288E-1
9.000000000E-2	1.013984893E-1	5.915450322E-1
1.000000000E-1	1.108536180E-1	5.855655242E-1
1.100000000E-1	1.207329785E-1	5.793009511E-1
1.200000000E-1	1.305728110E-1	5.729644758E-1
1.300000000E-1	1.413059626E-1	5.661510430E-1
1.400000000E-1	1.518009254E-1	5.590743961E-1
1.500000000E-1	1.624353949E-1	5.520692071E-1
1.600000000E-1	1.734404232E-1	5.447351997E-1
1.700000000E-1	1.856246054E-1	5.368536551E-1
1.800000000E-1	1.967760884E-1	5.295989315E-1
1.900000000E-1	2.094992352E-1	5.213709994E-1
2.000000000E-1	2.222473598E-1	5.135039985E-1
2.100000000E-1	2.354262833E-1	5.053021741E-1
2.200000000E-1	2.486593800E-1	4.972485071E-1
2.300000000E-1	2.623457944E-1	4.888265241E-1
2.400000000E-1	2.761340160E-1	4.807382210E-1
2.500000000E-1	2.900345172E-1	4.726069434E-1
2.600000000E-1	3.043392156E-1	4.638472469E-1
2.700000000E-1	3.190100873E-1	4.553665028E-1
2.800000000E-1	3.336102610E-1	4.462920488E-1
2.900000000E-1	3.483168060E-1	4.373820809E-1
3.000000000E-1	3.635440275E-1	4.281856597E-1
3.100000000E-1	3.793060014E-1	4.189244172E-1
3.200000000E-1	3.956144362E-1	4.091214475E-1
3.300000000E-1	4.121092302E-1	3.996002744E-1
3.400000000E-1	4.290649629E-1	3.894534884E-1
3.500000000E-1	4.464078196E-1	3.794012029E-1
3.600000000E-1	4.642125610E-1	3.693242826E-1
3.700000000E-1	4.823529790E-1	3.581566100E-1
3.800000000E-1	5.036013007E-1	3.528766701E-1
3.900000000E-1	5.192294585E-1	3.369370522E-1
4.000000000E-1	5.381135035E-1	3.255720637E-1
4.100000000E-1	5.576173768E-1	3.143974927E-1
4.200000000E-1	5.774215737E-1	3.024502465E-1
4.300000000E-1	5.975239062E-1	2.905409368E-1
4.400000000E-1	6.176593586E-1	2.792342432E-1
4.500000000E-1	6.382318678E-1	2.676487782E-1
4.600000000E-1	6.590896190E-1	2.555136035E-1
4.700000000E-1	6.804890175E-1	2.435103067E-1
4.800000000E-1	7.024621097E-1	2.314779550E-1
4.900000000E-1	7.244920434E-1	2.198630121E-1
5.000000000E-1	7.474647287E-1	2.079952490E-1
5.100000000E-1	7.707787871E-1	1.960302971E-1
5.200000000E-1	7.941389841E-1	1.846863900E-1
5.300000000E-1	8.178376689E-1	1.728360941E-1
5.400000000E-1	8.419943455E-1	1.609953047E-1
5.500000000E-1	8.661327612E-1	1.516809064E-1
5.600000000E-1	8.923092963E-1	1.405588598E-1
5.700000000E-1	9.174814232E-1	1.277116394E-1
5.800000000E-1	9.422049712E-1	1.145330812E-1
5.900000000E-1	9.678856141E-1	1.034902691E-1
6.000000000E-1	9.943720803E-1	9.215476681E-2
6.100000000E-1	1.020901612E0	8.178605801E-2
6.200000000E-1	1.047939588E0	7.064843522E-2
6.300000000E-1	1.038020516E0	1.844843420E-2
6.400000000E-1	1.102415440E0	4.837404454E-2
6.500000000E-1	1.037991222E0	1.782985554E-2
6.600000000E-1	1.037947994E0	1.854423515E-2
6.700000000E-1	1.037937206E0	1.792471483E-2
6.800000000E-1	1.037906261E0	1.803803595E-2
