mass_A
t	x	y
0.000000000E0	1.540866188E-2	6.422466951E-1
1.000000000E-2	2.248711930E-2	6.383036176E-1
2.000000000E-2	2.953342040E-2	6.341921510E-1
3.000000000E-2	3.670516241E-2	6.301225465E-1
4.000000000E-2	4.378410776E-2	6.260011053E-1
5.000000000E-2	5.207284546E-2	6.211226426E-1
6.000000000E-2	5.935184409E-2	6.169124909E-1
7.000000000E-2	6.793087086E-2	6.117029534E-1
8.000000000E-2	7.637765507E-2	6.067219842E-1
9.000000000E-2	8.508920220E-2	6.014099009E-1
1.000000000E-1	9.356538267E-2	5.964971530E-1
1.100000000E-1	1.028647651E-1	5.906487440E-1
1.200000000E-1	1.119293325E-1	5.847503475E-1
1.300000000E-1	1.218617488E-1	5.784864624E-1
1.400000000E-1	1.312826314E-1	5.724787007E-1
1.500000000E-1	1.423737184E-1	5.653046389E-1
1.600000000E-1	1.515140911E-1	5.591986931E-1
1.700000000E-1	1.623022673E-1	5.519588104E-1
1.800000000E-1	1.730088911E-1	5.449884405E-1
1.900000000E-1	1.840097084E-1	5.377435826E-1
2.000000000E-1	1.951910041E-1	5.306612536E-1
2.100000000E-1	2.076153693E-1	5.226317467E-1
2.200000000E-1	2.202518058E-1	5.145443554E-1
2.300000000E-1	2.334742278E-1	5.063964017E-1
2.400000000E-1	2.466263678E-1	4.982525708E-1
2.500000000E-1	2.600879061E-1	4.902117158E-1
2.600000000E-1	2.739408315E-1	4.818243274E-1
2.700000000E-1	2.885150168E-1	4.731339687E-1
2.800000000E-1	3.026645958E-1	4.645901689E-1
2.900000000E-1	3.178395591E-1	4.563722190E-1
3.000000000E-1	3.329443259E-1	4.464034252E-1
3.100000000E-1	3.481803428E-1	4.371806504E-1
3.200000000E-1	3.645146686E-1	4.274441152E-1
3.300000000E-1	3.801350269E-1	4.182306506E-1
3.400000000E-1	3.968513116E-1	4.080456072E-1
3.500000000E-1	4.134556891E-1	3.986084700E-1
3.600000000E-1	4.305455523E-1	3.885413029E-1
3.700000000E-1	4.479809920E-1	3.782756300E-1
3.800000000E-1	4.659254734E-1	3.678014195E-1
3.900000000E-1	4.840300903E-1	3.571116562E-1
4.000000000E-1	5.049600319E-1	3.521059552E-1
4.100000000E-1	5.215409712E-1	3.350978814E-1
4.200000000E-1	5.406381001E-1	3.272975420E-1
4.300000000E-1	5.598997451E-1	3.126233027E-1
4.400000000E-1	5.798242947E-1	3.009713890E-1
4.500000000E-1	6.000223124E-1	2.893556584E-1
4.600000000E-1	6.204499691E-1	2.771787351E-1
4.700000000E-1	6.413876783E-1	2.653923194E-1
4.800000000E-1	6.627696005E-1	2.535676297E-1
4.900000000E-1	6.843592204E-1	2.435684714E-1
5.000000000E-1	7.058528965E-1	2.302569074E-1
5.100000000E-1	7.286820522E-1	2.179934444E-1
5.200000000E-1	7.516095031E-1	2.061242710E-1
5.300000000E-1	7.752532807E-1	1.944115333E-1
5.400000000E-1	7.987271506E-1	1.827879207E-1
5.500000000E-1	8.229365705E-1	1.712396032E-1
5.600000000E-1	8.471610675E-1	1.599221920E-1
5.700000000E-1	8.690128018E-1	1.508407208E-1
5.800000000E-1	8.939918797E-1	1.415922841E-1
5.900000000E-1	9.212315370E-1	1.273599225E-1
6.000000000E-1	9.477769002E-1	1.134170817E-1
6.100000000E-1	9.739533854E-1	1.020680361E-1
6.200000000E-1	1.000886845E0	9.079340887E-2
6.300000000E-1	1.025886906E0	8.177351859E-2
6.400000000E-1	1.054443113E0	6.980468635E-2
6.500000000E-1	1.082682545E0	5.790784235E-2
6.600000000E-1	1.110943458E0	4.663016563E-2
6.700000000E-1	1.139378523E0	3.609594819E-2
6.800000000E-1	1.168884613E0	2.576459973E-2
6.900000000E-1	1.197642471E0	1.594085722E-2
7.000000000E-1	1.223580354E0	7.997711354E-3
