mass_A
t	x	y
0.000000000E0	2.860749991E-2	6.342420346E-1
1.000000000E-2	3.569609273E-2	6.302085351E-1
2.000000000E-2	4.270234561E-2	6.261340708E-1
3.000000000E-2	4.981599412E-2	6.220703411E-1
4.000000000E-2	5.692888183E-2	6.179761671E-1
5.000000000E-2	6.524185269E-2	6.130782883E-1
6.000000000E-2	7.233546503E-2	6.088865705E-1
7.000000000E-2	8.067231331E-2	6.038859834E-1
8.000000000E-2	8.905509034E-2	5.985385244E-1
9.000000000E-2	9.865336419E-2	5.927662693E-1
1.000000000E-1	1.070797697E-1	5.876250651E-1
1.100000000E-1	1.165477428E-1	5.813702708E-1
1.200000000E-1	1.260802769E-1	5.755029569E-1
1.300000000E-1	1.354340755E-1	5.693968632E-1
1.400000000E-1	1.462710915E-1	5.623300617E-1
1.500000000E-1	1.554357755E-1	5.561752678E-1
1.600000000E-1	1.660732287E-1	5.492835155E-1
1.700000000E-1	1.767982481E-1	5.419806936E-1
1.800000000E-1	1.878357452E-1	5.348157660E-1
1.900000000E-1	1.990537582E-1	5.276585181E-1
2.000000000E-1	2.114725623E-1	5.197602606E-1
2.100000000E-1	2.233779888E-1	5.123773899E-1
2.200000000E-1	2.364246848E-1	5.042925720E-1
2.300000000E-1	2.495065797E-1	4.962630376E-1
2.400000000E-1	2.629359864E-1	4.882231130E-1
2.500000000E-1	2.764161504E-1	4.802004022E-1
2.600000000E-1	2.902543781E-1	4.718219834E-1
2.700000000E-1	3.047512049E-1	4.631371654E-1
2.800000000E-1	3.194308193E-1	4.544730842E-1
2.900000000E-1	3.341882508E-1	4.454685977E-1
3.000000000E-1	3.492425093E-1	4.363072589E-1
3.100000000E-1	3.646210615E-1	4.272182065E-1
3.200000000E-1	3.801778087E-1	4.181558406E-1
3.300000000E-1	3.968391575E-1	4.080734034E-1
3.400000000E-1	4.132089916E-1	3.983945994E-1
3.500000000E-1	4.302980798E-1	3.886314213E-1
3.600000000E-1	4.475847131E-1	3.785491821E-1
3.700000000E-1	4.650511022E-1	3.683281646E-1
3.800000000E-1	4.833326526E-1	3.575073784E-1
3.900000000E-1	5.043265055E-1	3.521390002E-1
4.000000000E-1	5.197408887E-1	3.360269987E-1
4.100000000E-1	5.384873281E-1	3.248639003E-1
4.200000000E-1	5.576598539E-1	3.137086259E-1
4.300000000E-1	5.774715223E-1	3.016606647E-1
4.400000000E-1	5.973315825E-1	2.904245177E-1
4.500000000E-1	6.177956096E-1	2.784684454E-1
4.600000000E-1	6.384520995E-1	2.663316625E-1
4.700000000E-1	6.596234505E-1	2.547610821E-1
4.800000000E-1	6.806128239E-1	2.426794469E-1
4.900000000E-1	7.026762367E-1	2.307769889E-1
5.000000000E-1	7.245949411E-1	2.192232230E-1
5.100000000E-1	7.474401752E-1	2.073247196E-1
5.200000000E-1	7.703142328E-1	1.959351163E-1
5.300000000E-1	7.937889348E-1	1.840902233E-1
5.400000000E-1	8.171407434E-1	1.725424458E-1
5.500000000E-1	8.416259564E-1	1.607232451E-1
5.600000000E-1	8.654348502E-1	1.512011816E-1
5.700000000E-1	8.905608266E-1	1.373046037E-1
5.800000000E-1	9.150367479E-1	1.255262363E-1
5.900000000E-1	9.410067157E-1	1.136775387E-1
6.000000000E-1	9.669828938E-1	1.025148626E-1
6.100000000E-1	9.935324619E-1	9.087474128E-2
6.200000000E-1	1.020052663E0	7.935406107E-2
6.300000000E-1	1.047492406E0	6.923089357E-2
6.400000000E-1	1.036904002E0	1.744493396E-2
6.500000000E-1	1.102404136E0	4.678332120E-2
6.600000000E-1	1.037130568E0	1.725001984E-2
6.700000000E-1	1.037050313E0	1.760699035E-2
6.800000000E-1	1.037122333E0	1.710140377E-2
6.900000000E-1	1.037117685E0	1.716802502E-2
7.000000000E-1	1.037141319E0	1.707319413E-2
7.100000000E-1	1.037165360E0	1.715243497E-2
7.200000000E-1	1.037174808E0	1.726032167E-2
