mass_A
t	x	y
0.000000000E0	2.110851047E-2	6.392728266E-1
1.000000000E-2	2.796367415E-2	6.351698890E-1
2.000000000E-2	3.504185125E-2	6.311684257E-1
3.000000000E-2	4.207902324E-2	6.270684281E-1
4.000000000E-2	4.934183679E-2	6.229370007E-1
5.000000000E-2	5.666866998E-2	6.188141338E-1
6.000000000E-2	6.481611887E-2	6.139140115E-1
7.000000000E-2	7.319426675E-2	6.090148988E-1
8.000000000E-2	8.173655885E-2	6.037253817E-1
9.000000000E-2	9.013195231E-2	5.986520574E-1
1.000000000E-1	9.943935354E-2	5.929285277E-1
1.100000000E-1	1.080640046E-1	5.872208251E-1
1.200000000E-1	1.186212903E-1	5.808088911E-1
1.300000000E-1	1.275629695E-1	5.751422636E-1
1.400000000E-1	1.379891042E-1	5.684358559E-1
1.500000000E-1	1.474211132E-1	5.624488709E-1
1.600000000E-1	1.566771393E-1	5.558257576E-1
1.700000000E-1	1.673149773E-1	5.489829744E-1
1.800000000E-1	1.783418159E-1	5.418049351E-1
1.900000000E-1	1.892550948E-1	5.346931976E-1
2.000000000E-1	2.004413654E-1	5.275469492E-1
2.100000000E-1	2.128035362E-1	5.195614220E-1
2.200000000E-1	2.246734618E-1	5.121444513E-1
2.300000000E-1	2.376950941E-1	5.044341168E-1
2.400000000E-1	2.506036946E-1	4.963698794E-1
2.500000000E-1	2.639794254E-1	4.882693257E-1
2.600000000E-1	2.777329512E-1	4.799469346E-1
2.700000000E-1	2.914445240E-1	4.719044638E-1
2.800000000E-1	3.053404620E-1	4.635029232E-1
2.900000000E-1	3.203112331E-1	4.542441691E-1
3.000000000E-1	3.354989953E-1	4.451531974E-1
3.100000000E-1	3.506081531E-1	4.360793755E-1
3.200000000E-1	3.659884915E-1	4.270071047E-1
3.300000000E-1	3.817661963E-1	4.180700839E-1
3.400000000E-1	3.985397518E-1	4.080107107E-1
3.500000000E-1	4.155979101E-1	3.978667842E-1
3.600000000E-1	4.326962862E-1	3.876690332E-1
3.700000000E-1	4.502410551E-1	3.775954601E-1
3.800000000E-1	4.677795806E-1	3.674749211E-1
3.900000000E-1	4.850792887E-1	3.570446225E-1
4.000000000E-1	5.068945203E-1	3.510744790E-1
4.100000000E-1	5.228808168E-1	3.347980350E-1
4.200000000E-1	5.415999446E-1	3.237211886E-1
4.300000000E-1	5.607682467E-1	3.123938423E-1
4.400000000E-1	5.809299992E-1	3.004174930E-1
4.500000000E-1	5.994941856E-1	2.865932965E-1
4.600000000E-1	6.210562233E-1	2.770351943E-1
4.700000000E-1	6.421054235E-1	2.649687767E-1
4.800000000E-1	6.634733075E-1	2.527925661E-1
4.900000000E-1	6.826533217E-1	2.425090616E-1
5.000000000E-1	7.062664267E-1	2.294079556E-1
5.100000000E-1	7.288209091E-1	2.175353793E-1
5.200000000E-1	7.517725653E-1	2.053070829E-1
5.300000000E-1	7.746382003E-1	1.936184457E-1
5.400000000E-1	7.981603577E-1	1.824637532E-1
5.500000000E-1	8.222767107E-1	1.704083824E-1
5.600000000E-1	8.471119381E-1	1.585191546E-1
5.700000000E-1	8.942091139E-1	1.360982393E-1
5.800000000E-1	9.207939138E-1	1.260427236E-1
5.900000000E-1	9.052211687E-1	1.296922693E-1
6.000000000E-1	8.351571439E-1	1.315881385E-1
